#Full name, UA code, SMILES
GLY-AC,GLY,NCC(=O)O
PRO-AC,PRO,O=C(O)C1CCCN1
ETA-AC,ETA,C[NH3+]
PHO-AC,PHO,COP(=O)([O-])OC
CHL-AC,CHL,C[N+](C)(C)C
DGL-AC,DGL,OCC1OC(O)C(O)C(O)C1O
EST-AC,EST,COC(C)=O
CYMSCA-AC,CYM,C[S-]
GANSCA-AC,GAN,CCC(=O)O
AMAN-AC,MAN,OCC1OC(O)C(O)C(O)C1O
AFUC-AC,FUC,CC1OC(O)C(O)C(O)C1O
BGLC-AC,BGL,OCC1OC(O)C(O)C(O)C1O
BGLCNA-AC,NGL,CC(=O)NC1C(O)OC(CO)C(O)C1O
BGALNA-AC,NGA,CC(=O)NC1C(O)OC(CO)C(O)C1O
NC4-AC,NC4,C[N+](C)(C)C
MAS-AC,MAS,COC(C)=O
GLUPSCA-AC,PRA,CCC(=O)O
DMEP-AC,DMP,COP(=O)([O-])OC
MAMM-AC,MMM,C[NH3+]
BUTENE2-AC,BTE,CC=CC
HMA,HMA,X
HMB,HMB,X
HMC,HMC,X
HMD,HMD,X
HFE,HFE,X
GLY,X0W,NCC(=O)O
PRO,X0X,O=C(O)C1CCCN1
ETHANE-AC,X15,CC
PROPANE-AC,X16,CCC
ETHENE-AC,X17,C=C
PROPENE-AC,X18,C=CC
BUTENE1-AC,X19,C=CCC
BUTENE13-AC,X1A,C=CC=C
ALASCA-AC,X1B,C
ARGSCA-AC,X1C,CCCNC(N)=[NH2+]
ASNSCA-AC,X1D,CC(N)=O
ASPSCA-AC,X1E,CC(=O)[O-]
CYSSCA-AC,X1F,CS
GLNSCA-AC,X1G,CCC(N)=O
GLUSCA-AC,X1H,CCC(=O)[O-]
HIDSCA-AC,X1I,Cc1cnc[nH]1
HIESCA-AC,X1J,Cc1c[nH]cn1
ILESCA-AC,X1K,CCCC
LEUSCA-AC,X1L,CC(C)C
LYSSCA-AC,X1M,CCCC[NH3+]
METSCA-AC,X1N,CCSC
PHESCA-AC,X1O,Cc1ccccc1
SERSCA-AC,X1P,CO
THRSCA-AC,X1Q,CCO
TRPSCA-AC,X1R,Cc1c[nH]c2ccccc12
TYRSCA-AC,X1S,Cc1ccc(O)cc1
VALSCA-AC,X1T,CCC
HIPSCA-AC,X1U,Cc1c[nH]c[nH+]1
PROSCA-AC,X1V,C1CC1
HSPSCA-AC,X1W,Cc1c[nH]c[nH+]1
ASPPSCA-AC,X1Z,CC(=O)O
CS-3-AC,X20,CC(CN)O
CS-173-AC,X21,CC(=N)O
