# z (nm)   (kJ/mol)
  0.0720  276.76298
  0.0740  272.01590
  0.0760  269.01709
  0.0780  266.17101
  0.0800  263.27044
  0.0820  260.33376
  0.0840  257.51091
  0.0860  254.59846
  0.0880  251.64816
  0.0900  248.66018
  0.0920  245.61127
  0.0940  242.48788
  0.0960  239.26738
  0.0980  235.93721
  0.1000  232.48863
  0.1020  228.90991
  0.1040  225.20353
  0.1060  221.38025
  0.1080  217.46107
  0.1100  213.47369
  0.1120  209.44468
  0.1140  205.38721
  0.1160  201.30438
  0.1180  197.19822
  0.1200  193.06470
  0.1220  188.90848
  0.1240  184.74841
  0.1260  180.61424
  0.1280  176.53288
  0.1300  172.52454
  0.1320  168.59900
  0.1340  164.75233
  0.1360  160.97715
  0.1380  157.28043
  0.1400  153.66697
  0.1420  150.14510
  0.1440  146.72302
  0.1460  143.40303
  0.1480  140.18357
  0.1500  137.03814
  0.1520  133.93573
  0.1540  130.86037
  0.1560  127.80292
  0.1580  124.76069
  0.1600  121.72963
  0.1620  118.72203
  0.1640  115.73950
  0.1660  112.78551
  0.1680  109.86162
  0.1700  106.95777
  0.1720  104.07478
  0.1740  101.20975
  0.1760   98.36107
  0.1780   95.54480
  0.1800   92.76835
  0.1820   90.04979
  0.1840   87.39745
  0.1860   84.80525
  0.1880   82.26785
  0.1900   79.77672
  0.1920   77.31842
  0.1940   74.88893
  0.1960   72.47983
  0.1980   70.09316
  0.2000   67.72682
  0.2020   65.39455
  0.2040   63.09504
  0.2060   60.82931
  0.2080   58.61296
  0.2100   56.44796
  0.2120   54.34167
  0.2140   52.29650
  0.2160   50.32157
  0.2180   48.41385
  0.2200   46.57120
  0.2220   44.78080
  0.2240   43.03064
  0.2260   41.31206
  0.2280   39.60727
  0.2300   37.91682
  0.2320   36.23749
  0.2340   34.57750
  0.2360   32.93824
  0.2380   31.32032
  0.2400   29.74406
  0.2420   28.22245
  0.2440   26.75335
  0.2460   25.33723
  0.2480   23.97059
  0.2500   22.65007
  0.2520   21.37663
  0.2540   20.14799
